region;species;iucn;references;id
badung;Cephalopholis miniata;LC;MRAP Bali (2011);3
buleleng;Cephalopholis miniata;LC;MRAP Bali (2011);8
badung;Cephalopholis sexmaculata;LC;MRAP Bali (2011);3
buleleng;Cephalopholis sexmaculata;LC;MRAP Bali (2011);8
badung;Cephalopholis sonnerati;LC;MRAP Bali (2011);3
badung;Cephalopholis spiloparaea;LC;MRAP Bali (2011);3
denpasar;Cephalopholis urodeta;LC;MRAP Bali (2011);9
badung;Cephalopholis urodeta;LC;MRAP Bali (2011);3
karangasem;Cephalopholis urodeta;LC;MRAP Bali (2011);7
buleleng;Cephalopholis urodeta;LC;MRAP Bali (2011);8
badung;Epinephelus areolatus;LC;MRAP Bali (2011);3
buleleng;Epinephelus areolatus;LC;MRAP Bali (2011);8
badung;Epinephelus bontoides;LC;MRAP Bali (2011);3
badung;Epinephelus caeruleopunctatus;LC;MRAP Bali (2011);3
denpasar;Epinephelus coioides;LC;MRAP Bali (2011);9
buleleng;Epinephelus coioides;LC;MRAP Bali (2011);8
badung;Epinephelus fasciatus;LC;MRAP Bali (2011);3
buleleng;Epinephelus fasciatus;LC;MRAP Bali (2011);8
jembrana;Epinephelus fasciatus;LC;MRAP Bali (2011);1
denpasar;Epinephelus maculatus;LC;MRAP Bali (2011);9
badung;Epinephelus maculatus;LC;MRAP Bali (2011);3
jembrana;Epinephelus maculatus;LC;MRAP Bali (2011);1
denpasar;Epinephelus merra;LC;MRAP Bali (2011);9
badung;Epinephelus merra;LC;MRAP Bali (2011);3
buleleng;Epinephelus merra;LC;MRAP Bali (2011);8
buleleng;Epinephelus ongus;LC;MRAP Bali (2011);8
jembrana;Epinephelus quoyanus;LC;MRAP Bali (2011);1
buleleng;Epinephelus undulosus;LC;MRAP Bali (2011);8
badung;Grammistes sexlineatus;LC;MRAP Bali (2011);3
buleleng;Grammistes sexlineatus;LC;MRAP Bali (2011);8
buleleng;Luzonichthys waitei;LC;MRAP Bali (2011);8
buleleng;Plectranthias inermis;LC;MRAP Bali (2011);8
badung;Plectranthias longimanus;LC;MRAP Bali (2011);3
buleleng;Plectropomus laevis;LC;MRAP Bali (2011);8
buleleng;Plectropomus leopardus;LC;MRAP Bali (2011);8
denpasar;Plectropomus maculatus;LC;MRAP Bali (2011);9
jembrana;Plectropomus maculatus;LC;MRAP Bali (2011);1
badung;Pseudanthias bicolor;LC;MRAP Bali (2011);3
buleleng;Pseudanthias bicolor;LC;MRAP Bali (2011);8
badung;Pseudanthias charleneae;LC;MRAP Bali (2011);3
buleleng;Pseudanthias charleneae;LC;MRAP Bali (2011);8
badung;Pseudanthias dispar;LC;MRAP Bali (2011);3
buleleng;Pseudanthias dispar;LC;MRAP Bali (2011);8
badung;Pseudanthias fasciatus;LC;MRAP Bali (2011);3
buleleng;Pseudanthias fasciatus;LC;MRAP Bali (2011);8
badung;Pseudanthias huchtii;LC;MRAP Bali (2011);3
buleleng;Pseudanthias huchtii;LC;MRAP Bali (2011);8
jembrana;Pseudanthias huchtii;LC;MRAP Bali (2011);1
buleleng;Pseudanthias hutomoi;LC;MRAP Bali (2011);8
badung;Pseudanthias hypselosoma;LC;MRAP Bali (2011);3
buleleng;Pseudanthias hypselosoma;LC;MRAP Bali (2011);8
jembrana;Pseudanthias hypselosoma;LC;MRAP Bali (2011);1
buleleng;Pseudanthias lori;LC;MRAP Bali (2011);8
badung;Pseudanthias luzonensis;LC;MRAP Bali (2011);3
denpasar;Pseudanthias pleurotaenia;LC;MRAP Bali (2011);9
badung;Pseudanthias pleurotaenia;LC;MRAP Bali (2011);3
buleleng;Pseudanthias pleurotaenia;LC;MRAP Bali (2011);8
denpasar;Pseudanthias squamipinnis;LC;MRAP Bali (2011);9
badung;Pseudanthias squamipinnis;LC;MRAP Bali (2011);3
buleleng;Pseudanthias squamipinnis;LC;MRAP Bali (2011);8
jembrana;Pseudanthias squamipinnis;LC;MRAP Bali (2011);1
badung;Pseudanthias tuka;LC;MRAP Bali (2011);3
buleleng;Pseudanthias tuka;LC;MRAP Bali (2011);8
jembrana;Pseudanthias tuka;LC;MRAP Bali (2011);1
badung;Pseudogramma polyacanthus;LC;MRAP Bali (2011);3
badung;Variola albimarginata;LC;MRAP Bali (2011);3
buleleng;Variola albimarginata;LC;MRAP Bali (2011);8
badung;Variola louti;LC;MRAP Bali (2011);3
buleleng;Cirrhitichthys aprinus;LC;MRAP Bali (2011);8
jembrana;Cirrhitichthys aprinus;LC;MRAP Bali (2011);1
denpasar;Cirrhitichthys falco;LC;MRAP Bali (2011);9
badung;Cirrhitichthys falco;LC;MRAP Bali (2011);3
denpasar;Cirrhitichthys oxycephalus;LC;MRAP Bali (2011);9
badung;Cirrhitichthys oxycephalus;LC;MRAP Bali (2011);3
buleleng;Cirrhitichthys oxycephalus;LC;MRAP Bali (2011);8
badung;Cirrhitus pinnulatus;LC;MRAP Bali (2011);3
badung;Cyprinocirrhites polyactis;LC;MRAP Bali (2011);3
buleleng;Cyprinocirrhites polyactis;LC;MRAP Bali (2011);8
badung;Paracirrhites arcatus;LC;MRAP Bali (2011);3
denpasar;Paracirrhites forsteri;LC;MRAP Bali (2011);9
badung;Paracirrhites forsteri;LC;MRAP Bali (2011);3
karangasem;Paracirrhites forsteri;LC;MRAP Bali (2011);7
buleleng;Paracirrhites forsteri;LC;MRAP Bali (2011);8
denpasar;Labracinus cyclophthalmus;LC;MRAP Bali (2011);9
jembrana;Labracinus cyclophthalmus;LC;MRAP Bali (2011);1
buleleng;Lubbockichthys multisquamatus;LC;MRAP Bali (2011);8
buleleng;Manonichthys sp. 1 (cf. alleni);LC;MRAP Bali (2011);8
badung;Pictichromis paccagnellae;LC;MRAP Bali (2011);3
buleleng;Pictichromis paccagnellae;LC;MRAP Bali (2011);8
denpasar;Pseudochromis andamanensis;LC;MRAP Bali (2011);9
badung;Pseudochromis andamanensis;LC;MRAP Bali (2011);3
badung;Pseudochromis arulenteus;LC;MRAP Bali (2011);3
jembrana;Pseudochromis fuscus;LC;MRAP Bali (2011);1
buleleng;Pseudochromis litus;LC;MRAP Bali (2011);8
buleleng;Pseudochromis marshallensis;LC;MRAP Bali (2011);8
buleleng;Pseudochromis oligochrysus;LC;MRAP Bali (2011);8
jembrana;Pseudochromis perspicillatus;LC;MRAP Bali (2011);1
jembrana;Pseudochromis ransonetti;LC;MRAP Bali (2011);1
badung;Pseudochromis steenei;LC;MRAP Bali (2011);3
buleleng;Pseudoplesiops annae;LC;MRAP Bali (2011);8
buleleng;Pseudoplesiops collare;LC;MRAP Bali (2011);8
buleleng;Calloplesiops altivelis;LC;MRAP Bali (2011);8
denpasar;Plesiops coeruleolineatus;LC;MRAP Bali (2011);9
denpasar;Steeneichthys nativitatis;LC;MRAP Bali (2011);9
karangasem;Steeneichthys nativitatis;LC;MRAP Bali (2011);7
buleleng;Opistognathus sp. 1 “hyalinus”;LC;MRAP Bali (2011);8
badung;Opistognathus randalli;LC;MRAP Bali (2011);3
buleleng;Opistognathus randalli;LC;MRAP Bali (2011);8
denpasar;Opistognathus solorensis;LC;MRAP Bali (2011);9
buleleng;Opistognathus sp. 2 “vicinus”;LC;MRAP Bali (2011);8
denpasar;Priacanthus blochii;LC;MRAP Bali (2011);9
denpasar;Priacanthus hamrur;LC;MRAP Bali (2011);9
badung;Priacanthus hamrur;LC;MRAP Bali (2011);3
buleleng;Priacanthus sagittarius;LC;MRAP Bali (2011);8
badung;Apogon angustatus;LC;MRAP Bali (2011);3
badung;Apogon apogonides;LC;MRAP Bali (2011);3
denpasar;Apogon aureus;LC;MRAP Bali (2011);9
badung;Apogon aureus;LC;MRAP Bali (2011);3
buleleng;Apogon aureus;LC;MRAP Bali (2011);8
jembrana;Apogon aureus;LC;MRAP Bali (2011);1
badung;Apogon bryx;LC;MRAP Bali (2011);3
buleleng;Apogon bryx;LC;MRAP Bali (2011);8
buleleng;Apogon ceramensis;LC;MRAP Bali (2011);8
denpasar;Apogon chrysopomus;LC;MRAP Bali (2011);9
badung;Apogon chrysotaenia;LC;MRAP Bali (2011);3
jembrana;Apogon chrysotaenia;LC;MRAP Bali (2011);1
denpasar;Apogon compressus;LC;MRAP Bali (2011);9
buleleng;Apogon compressus;LC;MRAP Bali (2011);8
jembrana;Apogon compressus;LC;MRAP Bali (2011);1
buleleng;Apogon cyanosoma;LC;MRAP Bali (2011);8
buleleng;Apogon dispar;LC;MRAP Bali (2011);8
buleleng;Apogon fleurieu;LC;MRAP Bali (2011);8
denpasar;Apogon fraenatus;LC;MRAP Bali (2011);9
badung;Apogon fraenatus;LC;MRAP Bali (2011);3
buleleng;Apogon fraenatus;LC;MRAP Bali (2011);8
badung;Apogon guamensis;LC;MRAP Bali (2011);3
buleleng;Apogon guamensis;LC;MRAP Bali (2011);8
jembrana;Apogon guamensis;LC;MRAP Bali (2011);1
buleleng;Apogon hartzfeldii;LC;MRAP Bali (2011);8
jembrana;Apogon hartzfeldii;LC;MRAP Bali (2011);1
buleleng;Apogon hoevenii;LC;MRAP Bali (2011);8
jembrana;Apogon hoevenii;LC;MRAP Bali (2011);1
denpasar;Apogon kallopterus;LC;MRAP Bali (2011);9
badung;Apogon kallopterus;LC;MRAP Bali (2011);3
buleleng;Apogon kallopterus;LC;MRAP Bali (2011);8
buleleng;Apogon leptacanthus;LC;MRAP Bali (2011);8
jembrana;Apogon leptacanthus;LC;MRAP Bali (2011);1
buleleng;Apogon lineomaculus;LC;MRAP Bali (2011);8
denpasar;Apogon monospilus;LC;MRAP Bali (2011);9
buleleng;Apogon monospilus;LC;MRAP Bali (2011);8
buleleng;Apogon moluccensis;LC;MRAP Bali (2011);8
badung;Apogon nigrofasciatus;LC;MRAP Bali (2011);3
buleleng;Apogon nigrofasciatus;LC;MRAP Bali (2011);8
jembrana;Apogon nigrofasciatus;LC;MRAP Bali (2011);1
badung;Apogon parvulus;LC;MRAP Bali (2011);3
buleleng;Apogon parvulus;LC;MRAP Bali (2011);8
jembrana;Apogon parvulus;LC;MRAP Bali (2011);1
badung;Apgon seminigracaudus;LC;MRAP Bali (2011);3
buleleng;Apgon seminigracaudus;LC;MRAP Bali (2011);8
badung;Apogon semiornatus;LC;MRAP Bali (2011);3
denpasar;Apogon taeniophorus;LC;MRAP Bali (2011);9
badung;Apogon taeniophorus;LC;MRAP Bali (2011);3
karangasem;Apogon taeniophorus;LC;MRAP Bali (2011);7
buleleng;Apogon taeniophorus;LC;MRAP Bali (2011);8
buleleng;Apogon thermalis;LC;MRAP Bali (2011);8
jembrana;Apogon thermalis;LC;MRAP Bali (2011);1
denpasar;Apogon trimaculatus;LC;MRAP Bali (2011);9
buleleng;Apogon viria;LC;MRAP Bali (2011);8
jembrana;Apogon viria;LC;MRAP Bali (2011);1
badung;Apogon wassinki;LC;MRAP Bali (2011);3
buleleng;Apogon wassinki;LC;MRAP Bali (2011);8
jembrana;Apogon wassinki;LC;MRAP Bali (2011);1
denpasar;Archamia biguttata;LC;MRAP Bali (2011);9
buleleng;Archamia biguttata;LC;MRAP Bali (2011);8
denpasar;Archamia fucata;LC;MRAP Bali (2011);9
buleleng;Archamia fucata;LC;MRAP Bali (2011);8
denpasar;Archamia macroptera;LC;MRAP Bali (2011);9
buleleng;Archamia macroptera;LC;MRAP Bali (2011);8
jembrana;Archamia macroptera;LC;MRAP Bali (2011);1
buleleng;Archamia melasma;LC;MRAP Bali (2011);8
badung;Cheilodipterus artus;LC;MRAP Bali (2011);3
buleleng;Cheilodipterus artus;LC;MRAP Bali (2011);8
jembrana;Cheilodipterus artus;LC;MRAP Bali (2011);1
denpasar;Cheilodipterus macrodon;LC;MRAP Bali (2011);9
badung;Cheilodipterus macrodon;LC;MRAP Bali (2011);3
buleleng;Cheilodipterus macrodon;LC;MRAP Bali (2011);8
jembrana;Cheilodipterus macrodon;LC;MRAP Bali (2011);1
denpasar;Cheilodipterus quinquelineatus;LC;MRAP Bali (2011);9
badung;Cheilodipterus quinquelineatus;LC;MRAP Bali (2011);3
buleleng;Cheilodipterus quinquelineatus;LC;MRAP Bali (2011);8
jembrana;Cheilodipterus quinquelineatus;LC;MRAP Bali (2011);1
badung;Foa fo;LC;MRAP Bali (2011);3
buleleng;Foa fo;LC;MRAP Bali (2011);8
buleleng;Fowleria marmorata;LC;MRAP Bali (2011);8
badung;Fowleria vaiulae;LC;MRAP Bali (2011);3
buleleng;Neamia notula;LC;MRAP Bali (2011);8
badung;Pseudamiops gracilicauda;LC;MRAP Bali (2011);3
buleleng;Pterapogon kauderni;LC;MRAP Bali (2011);8
badung;Rhabdamia gracilis;LC;MRAP Bali (2011);3
buleleng;Rhabdamia gracilis;LC;MRAP Bali (2011);8
buleleng;Siphamia tubifer;LC;MRAP Bali (2011);8
jembrana;Sphaeramia nematoptera;LC;MRAP Bali (2011);1
badung;Hoplolatilus chlupatyi;LC;MRAP Bali (2011);3
badung;Hoplolatilus cuniculus;LC;MRAP Bali (2011);3
buleleng;Hoplolatilus cuniculus;LC;MRAP Bali (2011);8
badung;Hoplolatilus randalli;LC;MRAP Bali (2011);3
badung;Hoplolatilus starcki;LC;MRAP Bali (2011);3
badung;Malacanthus brevirostris;LC;MRAP Bali (2011);3
buleleng;Malacanthus brevirostris;LC;MRAP Bali (2011);8
badung;Malacanthus latovittatus;LC;MRAP Bali (2011);3
buleleng;Echeneis naucrates;LC;MRAP Bali (2011);8
badung;Carangoides bajad;LC;MRAP Bali (2011);3
buleleng;Carangoides bajad;LC;MRAP Bali (2011);8
denpasar;Carangoides ferdau;LC;MRAP Bali (2011);9
badung;Carangoides ferdau;LC;MRAP Bali (2011);3
denpasar;Carangoides oblongus;LC;MRAP Bali (2011);9
badung;Carangoides plagiotaenia;LC;MRAP Bali (2011);3
buleleng;Carangoides plagiotaenia;LC;MRAP Bali (2011);8
badung;Caranx ignobilis;LC;MRAP Bali (2011);3
denpasar;Caranx melampygus;LC;MRAP Bali (2011);9
badung;Caranx melampygus;LC;MRAP Bali (2011);3
buleleng;Caranx melampygus;LC;MRAP Bali (2011);8
badung;Caranx sexfasciatus;LC;MRAP Bali (2011);3
badung;Elagatis bipinnulata;LC;MRAP Bali (2011);3
badung;Scomberoides lysan;LC;MRAP Bali (2011);3
buleleng;Scomberoides lysan;LC;MRAP Bali (2011);8
denpasar;Lutjanus argentimaculatus;LC;MRAP Bali (2011);9
buleleng;Lutjanus argentimaculatus;LC;MRAP Bali (2011);8
badung;Lutjanus biguttatus;LC;MRAP Bali (2011);3
badung;Lutjanus bohar;LC;MRAP Bali (2011);3
buleleng;Lutjanus bohar;LC;MRAP Bali (2011);8
badung;Lutjanus decussatus;LC;MRAP Bali (2011);3
buleleng;Lutjanus decussatus;LC;MRAP Bali (2011);8
jembrana;Lutjanus decussatus;LC;MRAP Bali (2011);1
badung;Lutjanus ehrenbergii;LC;MRAP Bali (2011);3
denpasar;Lutjanus fulviflamma;LC;MRAP Bali (2011);9
badung;Lutjanus fulviflamma;LC;MRAP Bali (2011);3
buleleng;Lutjanus fulviflamma;LC;MRAP Bali (2011);8
denpasar;Lutjanus fulvus;LC;MRAP Bali (2011);9
badung;Lutjanus fulvus;LC;MRAP Bali (2011);3
buleleng;Lutjanus fulvus;LC;MRAP Bali (2011);8
denpasar;Lutjanus gibbus;LC;MRAP Bali (2011);9
badung;Lutjanus gibbus;LC;MRAP Bali (2011);3
karangasem;Lutjanus gibbus;LC;MRAP Bali (2011);7
buleleng;Lutjanus gibbus;LC;MRAP Bali (2011);8
badung;Lutjanus kasmira;LC;MRAP Bali (2011);3
buleleng;Lutjanus kasmira;LC;MRAP Bali (2011);8
badung;Lutjanus lutjanus;LC;MRAP Bali (2011);3
buleleng;Lutjanus lutjanus;LC;MRAP Bali (2011);8
jembrana;Lutjanus lutjanus;LC;MRAP Bali (2011);1
badung;Lutjanus madras;LC;MRAP Bali (2011);3
buleleng;Lutjanus malabaricus;LC;MRAP Bali (2011);8
badung;Lutjanus monostigma;LC;MRAP Bali (2011);3
buleleng;Lutjanus monostigma;LC;MRAP Bali (2011);8
denpasar;Lutjanus quinquelineatus;LC;MRAP Bali (2011);9
badung;Lutjanus quinquelineatus;LC;MRAP Bali (2011);3
buleleng;Lutjanus quinquelineatus;LC;MRAP Bali (2011);8
denpasar;Lutjanus rivulatus;LC;MRAP Bali (2011);9
badung;Lutjanus rivulatus;LC;MRAP Bali (2011);3
badung;Lutjanus rufolineatus;LC;MRAP Bali (2011);3
buleleng;Lutjanus rufolineatus;LC;MRAP Bali (2011);8
buleleng;Lutjanus sebae;LC;MRAP Bali (2011);8
badung;Macolor macularis;LC;MRAP Bali (2011);3
buleleng;Macolor macularis;LC;MRAP Bali (2011);8
buleleng;Macolor niger;LC;MRAP Bali (2011);8
buleleng;Paracaesio sordida;LC;MRAP Bali (2011);8
denpasar;Paracaesio xanthura;LC;MRAP Bali (2011);9
badung;Paracaesio xanthura;LC;MRAP Bali (2011);3
denpasar;Caesio caerulaurea;LC;MRAP Bali (2011);9
badung;Caesio caerulaurea;LC;MRAP Bali (2011);3
karangasem;Caesio caerulaurea;LC;MRAP Bali (2011);7
buleleng;Caesio caerulaurea;LC;MRAP Bali (2011);8
jembrana;Caesio caerulaurea;LC;MRAP Bali (2011);1
denpasar;Caesio cuning;LC;MRAP Bali (2011);9
badung;Caesio cuning;LC;MRAP Bali (2011);3
buleleng;Caesio cuning;LC;MRAP Bali (2011);8
jembrana;Caesio cuning;LC;MRAP Bali (2011);1
badung;Caesio lunaris;LC;MRAP Bali (2011);3
buleleng;Caesio lunaris;LC;MRAP Bali (2011);8
badung;Caesio teres;LC;MRAP Bali (2011);3
buleleng;Caesio teres;LC;MRAP Bali (2011);8
badung;Caesio varilineata;LC;MRAP Bali (2011);3
badung;Caesio xanthonota;LC;MRAP Bali (2011);3
jembrana;Pterocaesio chrysozona;LC;MRAP Bali (2011);1
denpasar;Pterocaesio diagramma;LC;MRAP Bali (2011);9
badung;Pterocaesio diagramma;LC;MRAP Bali (2011);3
buleleng;Pterocaesio diagramma;LC;MRAP Bali (2011);8
buleleng;Pterocaesio marri;LC;MRAP Bali (2011);8
buleleng;Pterocaesio pisang;LC;MRAP Bali (2011);8
jembrana;Pterocaesio pisang;LC;MRAP Bali (2011);1
badung;Pterocaesio randalli;LC;MRAP Bali (2011);3
buleleng;Pterocaesio randalli;LC;MRAP Bali (2011);8
badung;Pterocaesio tessellata;LC;MRAP Bali (2011);3
buleleng;Pterocaesio tessellata;LC;MRAP Bali (2011);8
denpasar;Pterocaesio tile;LC;MRAP Bali (2011);9
badung;Pterocaesio tile;LC;MRAP Bali (2011);3
karangasem;Pterocaesio tile;LC;MRAP Bali (2011);7
buleleng;Pterocaesio tile;LC;MRAP Bali (2011);8
buleleng;Pterocaesio trilineata;LC;MRAP Bali (2011);8
jembrana;Pterocaesio trilineata;LC;MRAP Bali (2011);1
buleleng;Gerres oyena;LC;MRAP Bali (2011);8
badung;Diagramma pictum;LC;MRAP Bali (2011);3
buleleng;Diagramma pictum;LC;MRAP Bali (2011);8
jembrana;Diagramma pictum;LC;MRAP Bali (2011);1
denpasar;Plectorhinchus chaetodontoides;LC;MRAP Bali (2011);9
badung;Plectorhinchus chaetodontoides;LC;MRAP Bali (2011);3
buleleng;Plectorhinchus chaetodontoides;LC;MRAP Bali (2011);8
denpasar;Plectorhinchus flavomaculatus;LC;MRAP Bali (2011);9
karangasem;Plectorhinchus flavomaculatus;LC;MRAP Bali (2011);7
buleleng;Plectorhinchus flavomaculatus;LC;MRAP Bali (2011);8
denpasar;Plectorhinchus lessonii;LC;MRAP Bali (2011);9
badung;Plectorhinchus lessonii;LC;MRAP Bali (2011);3
karangasem;Plectorhinchus lessonii;LC;MRAP Bali (2011);7
buleleng;Plectorhinchus lessonii;LC;MRAP Bali (2011);8
denpasar;Plectorhinchus lineatus;LC;MRAP Bali (2011);9
badung;Plectorhinchus lineatus;LC;MRAP Bali (2011);3
karangasem;Plectorhinchus lineatus;LC;MRAP Bali (2011);7
buleleng;Plectorhinchus lineatus;LC;MRAP Bali (2011);8
jembrana;Plectorhinchus lineatus;LC;MRAP Bali (2011);1
badung;Plectorhinchus polytaenia;LC;MRAP Bali (2011);3
buleleng;Plectorhinchus polytaenia;LC;MRAP Bali (2011);8
jembrana;Plectorhinchus polytaenia;LC;MRAP Bali (2011);1
denpasar;Plectorhinchus vittatus;LC;MRAP Bali (2011);9
badung;Plectorhinchus vittatus;LC;MRAP Bali (2011);3
karangasem;Plectorhinchus vittatus;LC;MRAP Bali (2011);7
jembrana;Plectorhinchus vittatus;LC;MRAP Bali (2011);1
denpasar;Gnathodentex aurolineatus;LC;MRAP Bali (2011);9
badung;Gnathodentex aurolineatus;LC;MRAP Bali (2011);3
badung;Gymnocranius griseus;LC;MRAP Bali (2011);3
buleleng;Gymnocranius griseus;LC;MRAP Bali (2011);8
denpasar;Gymnocranius sp.;LC;MRAP Bali (2011);9
badung;Gymnocranius sp.;LC;MRAP Bali (2011);3
karangasem;Gymnocranius sp.;LC;MRAP Bali (2011);7
denpasar;Lethrinus harak;LC;MRAP Bali (2011);9
badung;Lethrinus harak;LC;MRAP Bali (2011);3
buleleng;Lethrinus harak;LC;MRAP Bali (2011);8
badung;Lethrinus microdon;LC;MRAP Bali (2011);3
denpasar;Lethrinus olivaceus;LC;MRAP Bali (2011);9
badung;Lethrinus olivaceus;LC;MRAP Bali (2011);3
buleleng;Lethrinus olivaceus;LC;MRAP Bali (2011);8
jembrana;Lethrinus olivaceus;LC;MRAP Bali (2011);1
denpasar;Lethrinus ornatus;LC;MRAP Bali (2011);9
badung;Lethrinus ornatus;LC;MRAP Bali (2011);3
karangasem;Lethrinus ornatus;LC;MRAP Bali (2011);7
buleleng;Lethrinus ornatus;LC;MRAP Bali (2011);8
denpasar;Monotaxis grandoculis;LC;MRAP Bali (2011);9
badung;Monotaxis grandoculis;LC;MRAP Bali (2011);3
buleleng;Monotaxis grandoculis;LC;MRAP Bali (2011);8
badung;Monotaxis heterodon;LC;MRAP Bali (2011);3
buleleng;Monotaxis heterodon;LC;MRAP Bali (2011);8
buleleng;Pentapodus aureofasciatus;LC;MRAP Bali (2011);8
badung;Pentapodus nagasakiensis ?;LC;MRAP Bali (2011);3
denpasar;Pentapodus trivittatus;LC;MRAP Bali (2011);9
buleleng;Pentapodus trivittatus;LC;MRAP Bali (2011);8
denpasar;Scolopsis affinis;LC;MRAP Bali (2011);9
badung;Scolopsis affinis;LC;MRAP Bali (2011);3
buleleng;Scolopsis affinis;LC;MRAP Bali (2011);8
jembrana;Scolopsis affinis;LC;MRAP Bali (2011);1
denpasar;Scolopsis auratus;LC;MRAP Bali (2011);9
badung;Scolopsis auratus;LC;MRAP Bali (2011);3
denpasar;Scolopsis bilineatus;LC;MRAP Bali (2011);9
badung;Scolopsis bilineatus;LC;MRAP Bali (2011);3
karangasem;Scolopsis bilineatus;LC;MRAP Bali (2011);7
buleleng;Scolopsis bilineatus;LC;MRAP Bali (2011);8
jembrana;Scolopsis bilineatus;LC;MRAP Bali (2011);1
denpasar;Scolopsis ciliatus;LC;MRAP Bali (2011);9
badung;Scolopsis ciliatus;LC;MRAP Bali (2011);3
buleleng;Scolopsis ciliatus;LC;MRAP Bali (2011);8
jembrana;Scolopsis ciliatus;LC;MRAP Bali (2011);1
denpasar;Scolopsis lineatus;LC;MRAP Bali (2011);9
badung;Scolopsis lineatus;LC;MRAP Bali (2011);3
buleleng;Scolopsis lineatus;LC;MRAP Bali (2011);8
buleleng;Scolopsis margaritifer;LC;MRAP Bali (2011);8
jembrana;Scolopsis margaritifer;LC;MRAP Bali (2011);1
denpasar;Scolopsis monogramma;LC;MRAP Bali (2011);9
badung;Scolopsis monogramma;LC;MRAP Bali (2011);3
jembrana;Scolopsis torquata;LC;MRAP Bali (2011);1
denpasar;Scolopsis xenochrous;LC;MRAP Bali (2011);9
badung;Scolopsis xenochrous;LC;MRAP Bali (2011);3
buleleng;Scolopsis xenochrous;LC;MRAP Bali (2011);8
denpasar;Mulloidichthys flavolineatus;LC;MRAP Bali (2011);9
badung;Mulloidichthys flavolineatus;LC;MRAP Bali (2011);3
buleleng;Mulloidichthys flavolineatus;LC;MRAP Bali (2011);8
denpasar;Mulloidichthys vanicolensis;LC;MRAP Bali (2011);9
badung;Mulloidichthys vanicolensis;LC;MRAP Bali (2011);3
karangasem;Mulloidichthys vanicolensis;LC;MRAP Bali (2011);7
jembrana;Parupeneus barberinoides;LC;MRAP Bali (2011);1
denpasar;Parupeneus barberinus;LC;MRAP Bali (2011);9
badung;Parupeneus barberinus;LC;MRAP Bali (2011);3
karangasem;Parupeneus barberinus;LC;MRAP Bali (2011);7
buleleng;Parupeneus barberinus;LC;MRAP Bali (2011);8
jembrana;Parupeneus barberinus;LC;MRAP Bali (2011);1
badung;Parupeneus crassilabris;LC;MRAP Bali (2011);3
buleleng;Parupeneus crassilabris;LC;MRAP Bali (2011);8
denpasar;Parupeneus cyclostomus;LC;MRAP Bali (2011);9
badung;Parupeneus cyclostomus;LC;MRAP Bali (2011);3
denpasar;Parupeneus heptacanthus;LC;MRAP Bali (2011);9
badung;Parupeneus heptacanthus;LC;MRAP Bali (2011);3
buleleng;Parupeneus heptacanthus;LC;MRAP Bali (2011);8
denpasar;Parupeneus indicus;LC;MRAP Bali (2011);9
karangasem;Parupeneus indicus;LC;MRAP Bali (2011);7
denpasar;Parupeneus macronemus;LC;MRAP Bali (2011);9
badung;Parupeneus macronemus;LC;MRAP Bali (2011);3
karangasem;Parupeneus macronemus;LC;MRAP Bali (2011);7
buleleng;Parupeneus macronemus;LC;MRAP Bali (2011);8
denpasar;Parupeneus multifasciatus;LC;MRAP Bali (2011);9
badung;Parupeneus multifasciatus;LC;MRAP Bali (2011);3
karangasem;Parupeneus multifasciatus;LC;MRAP Bali (2011);7
buleleng;Parupeneus multifasciatus;LC;MRAP Bali (2011);8
jembrana;Parupeneus multifasciatus;LC;MRAP Bali (2011);1
buleleng;Parupeneus pleurostigma;LC;MRAP Bali (2011);8
jembrana;Parupeneus pleurostigma;LC;MRAP Bali (2011);1
badung;Parupeneus spilurus;LC;MRAP Bali (2011);3
denpasar;Parupeneus trifasciatus;LC;MRAP Bali (2011);9
badung;Parupeneus trifasciatus;LC;MRAP Bali (2011);3
buleleng;Upeneus sundaicus;LC;MRAP Bali (2011);8
denpasar;Upeneus tragula;LC;MRAP Bali (2011);9
buleleng;Upeneus tragula;LC;MRAP Bali (2011);8
jembrana;Upeneus tragula;LC;MRAP Bali (2011);1
denpasar;Parapriacanthus ransonneti;LC;MRAP Bali (2011);9
denpasar;Pempheris oualensis;LC;MRAP Bali (2011);9
denpasar;Pempheris schwenkii;LC;MRAP Bali (2011);9
denpasar;Pempheris vanicolensis;LC;MRAP Bali (2011);9
badung;Pempheris vanicolensis;LC;MRAP Bali (2011);3
karangasem;Pempheris vanicolensis;LC;MRAP Bali (2011);7
buleleng;Pempheris vanicolensis;LC;MRAP Bali (2011);8
jembrana;Pempheris vanicolensis;LC;MRAP Bali (2011);1
badung;Kyphosus cinerascens;LC;MRAP Bali (2011);3
buleleng;Kyphosus cinerascens;LC;MRAP Bali (2011);8
denpasar;Kyphosus vaigensis;LC;MRAP Bali (2011);9
badung;Kyphosus vaigensis;LC;MRAP Bali (2011);3
buleleng;Kyphosus vaigensis;LC;MRAP Bali (2011);8
buleleng;Monodactylus argenteus;LC;MRAP Bali (2011);8
denpasar;Chaetodon adiergastos;LC;MRAP Bali (2011);9
badung;Chaetodon adiergastos;LC;MRAP Bali (2011);3
karangasem;Chaetodon adiergastos;LC;MRAP Bali (2011);7
buleleng;Chaetodon adiergastos;LC;MRAP Bali (2011);8
jembrana;Chaetodon adiergastos;LC;MRAP Bali (2011);1
